date,elevation
2020-1-1 00:00,1877.45
2020-1-2 00:00,1877.1
2020-1-3 00:00,1876.78
2020-1-4 00:00,1876.87
2020-1-5 00:00,1876.98
2020-1-6 00:00,1876.55
2020-1-7 00:00,1876.16
2020-1-8 00:00,1875.77
2020-1-9 00:00,1875.44
2020-1-10 00:00,1875.01
2020-1-11 00:00,1874.98
2020-1-12 00:00,1874.94
2020-1-13 00:00,1874.72
2020-1-14 00:00,1874.61
2020-1-15 00:00,1874.31
2020-1-16 00:00,1874.46
2020-1-17 00:00,1874.17
2020-1-18 00:00,1874.38
2020-1-19 00:00,1874.39
2020-1-20 00:00,1874.06
2020-1-21 00:00,1873.93
2020-1-22 00:00,1874.07
2020-1-23 00:00,1874.1
2020-1-24 00:00,1874.26
2020-1-25 00:00,1874.95
2020-1-26 00:00,1877.12
2020-1-27 00:00,1878.14
2020-1-28 00:00,1878.92
2020-1-29 00:00,1879.46
2020-1-30 00:00,-9999.0
2020-1-31 00:00,1880.26
2020-2-1 00:00,1880.89
2020-2-2 00:00,1881.42
2020-2-3 00:00,1881.58
2020-2-4 00:00,1881.63
2020-2-5 00:00,1881.71
2020-2-6 00:00,1881.76
2020-2-7 00:00,1881.96
2020-2-8 00:00,1882.4
2020-2-9 00:00,1882.81
2020-2-10 00:00,1882.84
2020-2-11 00:00,1882.73
2020-2-12 00:00,1882.65
2020-2-13 00:00,-9999.0
2020-2-14 00:00,1882.53
2020-2-15 00:00,1882.86
2020-2-16 00:00,1883.18
2020-2-17 00:00,1883.05
2020-2-18 00:00,1882.99
2020-2-19 00:00,1882.93
2020-2-20 00:00,1882.86
2020-2-21 00:00,1882.79
2020-2-22 00:00,1882.88
2020-2-23 00:00,1882.9
2020-2-24 00:00,1882.74
2020-2-25 00:00,1882.63
2020-2-26 00:00,1882.55
2020-2-27 00:00,1882.45
2020-2-28 00:00,1882.36
2020-2-29 00:00,1882.46
2020-3-1 00:00,1882.58
2020-3-2 00:00,1882.45
2020-3-3 00:00,1882.43
2020-3-4 00:00,1882.31
2020-3-5 00:00,1882.2
2020-3-6 00:00,1882.12
2020-3-7 00:00,1882.34
2020-3-8 00:00,1882.54
2020-3-9 00:00,1882.56
2020-3-10 00:00,1882.51
2020-3-11 00:00,1882.62
2020-3-12 00:00,1882.43
2020-3-13 00:00,1882.47
2020-3-14 00:00,1882.84
2020-3-15 00:00,1883.43
2020-3-16 00:00,1883.67
2020-3-17 00:00,1883.95
2020-3-18 00:00,1884.33
2020-3-19 00:00,1884.68
2020-3-20 00:00,1885.06
2020-3-21 00:00,1885.51
2020-3-22 00:00,1885.98
2020-3-23 00:00,1886.51
2020-3-24 00:00,1887.04
2020-3-25 00:00,1887.37
2020-3-26 00:00,1887.68
2020-3-27 00:00,1887.8
2020-3-28 00:00,1888.19
2020-3-29 00:00,1888.7
2020-3-30 00:00,1888.96
2020-3-31 00:00,1889.32
2020-4-1 00:00,1889.87
2020-4-2 00:00,1890.56
2020-4-3 00:00,1891.17
2020-4-4 00:00,1891.95
2020-4-5 00:00,1893.96
2020-4-6 00:00,1895.52
2020-4-7 00:00,1896.69
2020-4-8 00:00,1897.64
2020-4-9 00:00,1898.69
2020-4-10 00:00,1899.65
2020-4-11 00:00,1900.95
2020-4-12 00:00,1902.5
2020-4-13 00:00,1903.93
2020-4-14 00:00,1905.18
2020-4-15 00:00,1906.36
2020-4-16 00:00,1907.61
2020-4-17 00:00,1908.88
2020-4-18 00:00,1910.17
2020-4-19 00:00,1911.43
2020-4-20 00:00,1912.33
2020-4-21 00:00,1913.33
2020-4-22 00:00,1914.33
2020-4-23 00:00,1915.21
2020-4-24 00:00,1916.04
2020-4-25 00:00,1916.88
2020-4-26 00:00,1917.81
2020-4-27 00:00,1918.59
2020-4-28 00:00,1919.18
2020-4-29 00:00,1919.81
2020-4-30 00:00,1920.61
2020-5-1 00:00,1921.5
2020-5-2 00:00,1922.18
2020-5-3 00:00,1922.73
2020-5-4 00:00,1922.9
2020-5-5 00:00,1923.12
2020-5-6 00:00,1923.34
2020-5-7 00:00,1923.26
2020-5-8 00:00,1922.96
2020-5-9 00:00,1923.46
2020-5-10 00:00,1924.19
2020-5-11 00:00,1924.56
2020-5-12 00:00,1924.87
2020-5-13 00:00,1925.26
2020-5-14 00:00,1925.56
2020-5-15 00:00,1925.75
2020-5-16 00:00,1926.3
2020-5-17 00:00,1927.49
2020-5-18 00:00,1929.21
2020-5-19 00:00,1930.63
2020-5-20 00:00,1931.81
2020-5-21 00:00,1932.81
2020-5-22 00:00,1933.84
2020-5-23 00:00,1934.72
2020-5-24 00:00,1935.54
2020-5-25 00:00,1936.24
2020-5-26 00:00,1936.55
2020-5-27 00:00,1936.6
2020-5-28 00:00,1936.74
2020-5-29 00:00,1936.75
2020-5-30 00:00,1936.92
2020-5-31 00:00,1937.09
2020-6-1 00:00,1937.11
2020-6-2 00:00,1937.06
2020-6-3 00:00,1936.86
2020-6-4 00:00,1936.74
2020-6-5 00:00,1936.7
2020-6-6 00:00,1936.79
2020-6-7 00:00,1936.9
2020-6-8 00:00,1936.98
2020-6-9 00:00,1936.55
2020-6-10 00:00,1936.31
2020-6-11 00:00,1935.99
2020-6-12 00:00,1935.8
2020-6-13 00:00,1935.78
2020-6-14 00:00,1935.71
2020-6-15 00:00,1935.42
2020-6-16 00:00,1935.35
2020-6-17 00:00,1935.19
2020-6-18 00:00,1934.92
2020-6-19 00:00,1934.55
2020-6-20 00:00,1934.27
2020-6-21 00:00,1934.03
2020-6-22 00:00,1933.67
2020-6-23 00:00,1933.14
2020-6-24 00:00,1932.52
2020-6-25 00:00,1931.91
2020-6-26 00:00,1931.36
2020-6-27 00:00,1931.07
2020-6-28 00:00,1930.82
2020-6-29 00:00,1930.29
2020-6-30 00:00,1929.67
2020-7-1 00:00,1929.21
2020-7-2 00:00,1928.56
2020-7-3 00:00,1928.16
2020-7-4 00:00,1927.8
2020-7-5 00:00,1927.37
2020-7-6 00:00,1926.8
2020-7-7 00:00,1926.21
2020-7-8 00:00,1925.58
2020-7-9 00:00,1925.15
2020-7-10 00:00,1924.56
2020-7-11 00:00,1923.93
2020-7-12 00:00,1923.56
2020-7-13 00:00,1922.74
2020-7-14 00:00,1922.01
2020-7-15 00:00,1921.19
2020-7-16 00:00,1920.4
2020-7-17 00:00,1919.69
2020-7-18 00:00,1919.27
2020-7-19 00:00,1918.99
2020-7-20 00:00,1918.53
2020-7-21 00:00,1917.83
2020-7-22 00:00,1917.0
2020-7-23 00:00,1916.28
2020-7-24 00:00,1915.62
2020-7-25 00:00,1914.99
2020-7-26 00:00,1914.36
2020-7-27 00:00,1913.58
2020-7-28 00:00,1912.74
2020-7-29 00:00,1911.81
2020-7-30 00:00,1910.86
2020-7-31 00:00,1910.05
2020-8-1 00:00,1909.83
2020-8-2 00:00,1909.64
2020-8-3 00:00,1908.66
2020-8-4 00:00,1907.69
2020-8-5 00:00,1906.81
2020-8-6 00:00,1905.87
2020-8-7 00:00,1904.9
2020-8-8 00:00,1904.64
2020-8-9 00:00,1904.31
2020-8-10 00:00,1903.53
2020-8-11 00:00,1902.83
2020-8-12 00:00,1901.94
2020-8-13 00:00,1900.98
2020-8-14 00:00,1900.06
2020-8-15 00:00,1899.71
2020-8-16 00:00,1899.35
2020-8-17 00:00,1898.53
2020-8-18 00:00,1897.75
2020-8-19 00:00,1896.33
2020-8-20 00:00,1894.94
2020-8-21 00:00,1893.49
2020-8-22 00:00,1892.69
2020-8-23 00:00,1891.83
2020-8-24 00:00,1890.74
2020-8-25 00:00,1889.66
2020-8-26 00:00,1888.58
2020-8-27 00:00,1887.54
2020-8-28 00:00,1886.81
2020-8-29 00:00,1886.71
2020-8-30 00:00,1886.62
2020-8-31 00:00,1886.26
2020-9-1 00:00,1886.03
2020-9-2 00:00,1885.8
2020-9-3 00:00,1885.59
