date,elevation
2020-1-1 00:00,417.68
2020-1-2 00:00,417.38
2020-1-3 00:00,417.13
2020-1-4 00:00,416.96
2020-1-5 00:00,416.71
2020-1-6 00:00,416.4
2020-1-7 00:00,416.07
2020-1-8 00:00,415.86
2020-1-9 00:00,415.65
2020-1-10 00:00,415.47
2020-1-11 00:00,415.28
2020-1-12 00:00,415.03
2020-1-13 00:00,414.72
2020-1-14 00:00,414.37
2020-1-15 00:00,414.26
2020-1-16 00:00,414.16
2020-1-17 00:00,414.1
2020-1-18 00:00,414.03
2020-1-19 00:00,413.89
2020-1-20 00:00,413.72
2020-1-21 00:00,413.51
2020-1-22 00:00,413.43
2020-1-23 00:00,413.28
2020-1-24 00:00,413.14
2020-1-25 00:00,413.19
2020-1-26 00:00,413.59
2020-1-27 00:00,414.37
2020-1-28 00:00,414.72
2020-1-29 00:00,414.79
2020-1-30 00:00,414.82
2020-1-31 00:00,414.85
2020-2-1 00:00,414.93
2020-2-2 00:00,414.99
2020-2-3 00:00,414.89
2020-2-4 00:00,414.82
2020-2-5 00:00,414.72
2020-2-6 00:00,414.64
2020-2-7 00:00,414.53
2020-2-8 00:00,414.49
2020-2-9 00:00,414.41
2020-2-10 00:00,414.24
2020-2-11 00:00,414.14
2020-2-12 00:00,413.94
2020-2-13 00:00,413.76
2020-2-14 00:00,413.51
2020-2-15 00:00,413.39
2020-2-16 00:00,413.19
2020-2-17 00:00,412.98
2020-2-18 00:00,412.76
2020-2-19 00:00,412.53
2020-2-20 00:00,412.31
2020-2-21 00:00,412.04
2020-2-22 00:00,411.86
2020-2-23 00:00,411.65
2020-2-24 00:00,411.23
2020-2-25 00:00,410.92
2020-2-26 00:00,410.58
2020-2-27 00:00,410.3
2020-2-28 00:00,409.93
2020-2-29 00:00,409.66
2020-3-1 00:00,409.42
2020-3-2 00:00,409.19
2020-3-3 00:00,408.9
2020-3-4 00:00,408.56
2020-3-5 00:00,408.24
2020-3-6 00:00,407.91
2020-3-7 00:00,407.74
2020-3-8 00:00,407.65
2020-3-9 00:00,407.39
2020-3-10 00:00,407.18
2020-3-11 00:00,406.99
2020-3-12 00:00,406.81
2020-3-13 00:00,406.58
2020-3-14 00:00,406.63
2020-3-15 00:00,407.86
2020-3-16 00:00,409.6
2020-3-17 00:00,410.57
2020-3-18 00:00,411.0
2020-3-19 00:00,411.28
2020-3-20 00:00,411.54
2020-3-21 00:00,411.77
2020-3-22 00:00,411.84
2020-3-23 00:00,412.0
2020-3-24 00:00,412.19
2020-3-25 00:00,412.48
2020-3-26 00:00,412.74
2020-3-27 00:00,412.93
2020-3-28 00:00,413.0
2020-3-29 00:00,413.18
2020-3-30 00:00,413.38
2020-3-31 00:00,413.5
2020-4-1 00:00,413.64
2020-4-2 00:00,414.01
2020-4-3 00:00,414.37
2020-4-4 00:00,414.73
2020-4-5 00:00,417.1
2020-4-6 00:00,419.78
2020-4-7 00:00,421.14
2020-4-8 00:00,422.16
2020-4-9 00:00,423.14
2020-4-10 00:00,423.97
2020-4-11 00:00,424.87
2020-4-12 00:00,425.99
2020-4-13 00:00,427.05
2020-4-14 00:00,427.94
2020-4-15 00:00,428.82
2020-4-16 00:00,429.58
2020-4-17 00:00,430.44
2020-4-18 00:00,431.24
2020-4-19 00:00,431.99
2020-4-20 00:00,432.63
2020-4-21 00:00,433.15
2020-4-22 00:00,433.72
2020-4-23 00:00,434.34
2020-4-24 00:00,435.04
2020-4-25 00:00,435.84
2020-4-26 00:00,436.54
2020-4-27 00:00,437.07
2020-4-28 00:00,437.74
2020-4-29 00:00,438.34
2020-4-30 00:00,439.0
2020-5-1 00:00,439.57
2020-5-2 00:00,440.03
2020-5-3 00:00,440.45
2020-5-4 00:00,440.78
2020-5-5 00:00,441.08
2020-5-6 00:00,441.27
2020-5-7 00:00,441.54
2020-5-8 00:00,441.86
2020-5-9 00:00,442.19
2020-5-10 00:00,442.52
2020-5-11 00:00,442.81
2020-5-12 00:00,443.13
2020-5-13 00:00,443.4
2020-5-14 00:00,443.46
2020-5-15 00:00,443.5
2020-5-16 00:00,443.51
2020-5-17 00:00,443.61
2020-5-18 00:00,444.48
2020-5-19 00:00,445.2
2020-5-20 00:00,445.74
2020-5-21 00:00,446.1
2020-5-22 00:00,446.38
2020-5-23 00:00,446.6
2020-5-24 00:00,446.79
2020-5-25 00:00,446.99
2020-5-26 00:00,447.29
2020-5-27 00:00,447.71
2020-5-28 00:00,448.03
2020-5-29 00:00,448.16
2020-5-30 00:00,448.34
2020-5-31 00:00,448.52
2020-6-1 00:00,448.74
2020-6-2 00:00,448.98
2020-6-3 00:00,449.11
2020-6-4 00:00,449.17
2020-6-5 00:00,449.28
2020-6-6 00:00,449.21
2020-6-7 00:00,449.08
2020-6-8 00:00,448.91
2020-6-9 00:00,448.74
2020-6-10 00:00,448.6
2020-6-11 00:00,448.4
2020-6-12 00:00,448.1
2020-6-13 00:00,447.78
2020-6-14 00:00,447.49
2020-6-15 00:00,447.16
2020-6-16 00:00,446.79
2020-6-17 00:00,446.46
2020-6-18 00:00,446.14
2020-6-19 00:00,445.81
2020-6-20 00:00,445.42
2020-6-21 00:00,445.06
2020-6-22 00:00,444.68
2020-6-23 00:00,444.33
2020-6-24 00:00,443.86
2020-6-25 00:00,443.45
2020-6-26 00:00,443.04
2020-6-27 00:00,442.66
2020-6-28 00:00,442.16
2020-6-29 00:00,441.63
2020-6-30 00:00,441.09
2020-7-1 00:00,440.5
2020-7-2 00:00,439.94
2020-7-3 00:00,439.4
2020-7-4 00:00,438.87
2020-7-5 00:00,438.39
2020-7-6 00:00,437.86
2020-7-7 00:00,437.3
2020-7-8 00:00,436.62
2020-7-9 00:00,435.93
2020-7-10 00:00,435.31
2020-7-11 00:00,434.82
2020-7-12 00:00,434.27
2020-7-13 00:00,433.58
2020-7-14 00:00,432.93
2020-7-15 00:00,432.17
2020-7-16 00:00,431.47
2020-7-17 00:00,430.76
2020-7-18 00:00,430.08
2020-7-19 00:00,429.42
2020-7-20 00:00,428.67
2020-7-21 00:00,427.94
2020-7-22 00:00,427.29
2020-7-23 00:00,426.66
2020-7-24 00:00,426.07
2020-7-25 00:00,425.66
2020-7-26 00:00,425.35
2020-7-27 00:00,424.86
2020-7-28 00:00,424.41
2020-7-29 00:00,423.87
2020-7-30 00:00,423.49
2020-7-31 00:00,423.19
2020-8-1 00:00,422.8
2020-8-2 00:00,422.33
2020-8-3 00:00,421.77
2020-8-4 00:00,421.21
2020-8-5 00:00,420.71
2020-8-6 00:00,420.31
2020-8-7 00:00,419.87
2020-8-8 00:00,419.47
2020-8-9 00:00,419.12
2020-8-10 00:00,418.73
2020-8-11 00:00,418.32
2020-8-12 00:00,417.82
2020-8-13 00:00,417.48
2020-8-14 00:00,417.24
2020-8-15 00:00,417.11
2020-8-16 00:00,416.98
2020-8-17 00:00,416.74
2020-8-18 00:00,416.63
2020-8-19 00:00,416.3
2020-8-20 00:00,416.12
2020-8-21 00:00,415.75
2020-8-22 00:00,415.64
2020-8-23 00:00,415.46
2020-8-24 00:00,415.26
2020-8-25 00:00,415.03
2020-8-26 00:00,414.78
2020-8-27 00:00,414.51
2020-8-28 00:00,414.24
2020-8-29 00:00,414.01
2020-8-30 00:00,413.85
2020-8-31 00:00,413.56
2020-9-1 00:00,413.4
2020-9-2 00:00,413.04
2020-9-3 00:00,412.72
2020-9-4 00:00,412.57
2020-9-5 00:00,412.42
2020-9-6 00:00,412.26
2020-9-7 00:00,412.06
2020-9-8 00:00,411.76
2020-9-9 00:00,411.43
2020-9-10 00:00,411.04
2020-9-11 00:00,410.84
2020-9-12 00:00,410.61
2020-9-13 00:00,410.42
2020-9-14 00:00,410.1
2020-9-15 00:00,409.84
2020-9-16 00:00,409.63
2020-9-17 00:00,409.42
2020-9-18 00:00,409.26
2020-9-19 00:00,409.06
2020-9-20 00:00,408.95
2020-9-21 00:00,408.67
2020-9-22 00:00,408.58
2020-9-23 00:00,408.24
2020-9-24 00:00,407.94
2020-9-25 00:00,407.8
2020-9-26 00:00,407.54
2020-9-27 00:00,407.31
2020-9-28 00:00,406.93
2020-9-29 00:00,406.63
2020-9-30 00:00,406.39
2020-10-1 00:00,406.29
2020-10-2 00:00,405.93
2020-10-3 00:00,405.66
2020-10-4 00:00,405.3
2020-10-5 00:00,404.86
2020-10-6 00:00,404.56
2020-10-7 00:00,404.34
2020-10-8 00:00,404.09
2020-10-9 00:00,403.74
2020-10-10 00:00,403.46
2020-10-11 00:00,403.19
